INFO - main.py - 2024-12-08 15:28:46,677 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:28:46,678 - Writing log file to run/logs/0
INFO - main.py - 2024-12-08 15:28:46,679 - Exp instance id = 178228
INFO - main.py - 2024-12-08 15:28:46,679 - Exp comment = 
INFO - main.py - 2024-12-08 15:28:46,679 - Config =
INFO - anneal_runner.py - 2024-12-08 15:28:53,687 - step: 1, loss: 502.943359375
INFO - anneal_runner.py - 2024-12-08 15:28:54,614 - step: 2, loss: 573.9413452148438
INFO - anneal_runner.py - 2024-12-08 15:28:55,514 - step: 3, loss: 518.265625
INFO - anneal_runner.py - 2024-12-08 15:28:56,416 - step: 4, loss: 348.0970458984375
INFO - anneal_runner.py - 2024-12-08 15:28:57,306 - step: 5, loss: 313.36944580078125
INFO - anneal_runner.py - 2024-12-08 15:28:58,206 - step: 6, loss: 314.63226318359375
INFO - anneal_runner.py - 2024-12-08 15:28:59,101 - step: 7, loss: 316.5397644042969
INFO - anneal_runner.py - 2024-12-08 15:29:00,001 - step: 8, loss: 305.48297119140625
INFO - anneal_runner.py - 2024-12-08 15:29:00,893 - step: 9, loss: 280.0123291015625
INFO - anneal_runner.py - 2024-12-08 15:29:01,793 - step: 10, loss: 283.2987365722656
INFO - anneal_runner.py - 2024-12-08 15:29:02,701 - step: 11, loss: 291.02740478515625
INFO - anneal_runner.py - 2024-12-08 15:29:03,598 - step: 12, loss: 270.23260498046875
INFO - anneal_runner.py - 2024-12-08 15:29:04,494 - step: 13, loss: 268.07696533203125
INFO - anneal_runner.py - 2024-12-08 15:29:05,394 - step: 14, loss: 269.67364501953125
INFO - anneal_runner.py - 2024-12-08 15:29:06,286 - step: 15, loss: 267.8836364746094
INFO - anneal_runner.py - 2024-12-08 15:29:07,170 - step: 16, loss: 266.7598876953125
INFO - anneal_runner.py - 2024-12-08 15:29:08,064 - step: 17, loss: 256.458740234375
INFO - anneal_runner.py - 2024-12-08 15:29:08,945 - step: 18, loss: 271.69677734375
INFO - anneal_runner.py - 2024-12-08 15:29:09,837 - step: 19, loss: 255.1292724609375
INFO - anneal_runner.py - 2024-12-08 15:29:10,728 - step: 20, loss: 263.98980712890625
INFO - anneal_runner.py - 2024-12-08 15:29:11,592 - step: 21, loss: 268.0037841796875
INFO - anneal_runner.py - 2024-12-08 15:29:12,483 - step: 22, loss: 261.8050231933594
INFO - anneal_runner.py - 2024-12-08 15:29:13,379 - step: 23, loss: 264.6795349121094
INFO - anneal_runner.py - 2024-12-08 15:29:14,274 - step: 24, loss: 255.32054138183594
INFO - anneal_runner.py - 2024-12-08 15:29:15,160 - step: 25, loss: 270.0823669433594
INFO - anneal_runner.py - 2024-12-08 15:29:16,052 - step: 26, loss: 272.37994384765625
INFO - anneal_runner.py - 2024-12-08 15:29:16,945 - step: 27, loss: 262.8479309082031
INFO - anneal_runner.py - 2024-12-08 15:29:17,831 - step: 28, loss: 249.48699951171875
INFO - anneal_runner.py - 2024-12-08 15:29:18,720 - step: 29, loss: 252.1094512939453
INFO - anneal_runner.py - 2024-12-08 15:29:19,473 - step: 30, loss: 242.20924377441406
INFO - anneal_runner.py - 2024-12-08 15:29:20,260 - step: 31, loss: 234.46832275390625
INFO - anneal_runner.py - 2024-12-08 15:29:21,153 - step: 32, loss: 239.42703247070312
INFO - anneal_runner.py - 2024-12-08 15:29:22,040 - step: 33, loss: 232.99530029296875
