INFO - main.py - 2024-12-08 15:52:17,661 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:52:17,662 - Writing log file to run/logs/tenepochs
INFO - main.py - 2024-12-08 15:52:17,662 - Exp instance id = 182172
INFO - main.py - 2024-12-08 15:52:17,662 - Exp comment = 
INFO - main.py - 2024-12-08 15:52:17,663 - Config =
INFO - anneal_runner.py - 2024-12-08 15:52:24,739 - step: 1, loss: 502.943359375
INFO - anneal_runner.py - 2024-12-08 15:52:25,668 - step: 2, loss: 573.9417724609375
INFO - anneal_runner.py - 2024-12-08 15:52:26,592 - step: 3, loss: 518.266357421875
INFO - anneal_runner.py - 2024-12-08 15:52:27,509 - step: 4, loss: 348.0985107421875
INFO - anneal_runner.py - 2024-12-08 15:52:28,430 - step: 5, loss: 313.370361328125
INFO - anneal_runner.py - 2024-12-08 15:52:29,345 - step: 6, loss: 314.63262939453125
INFO - anneal_runner.py - 2024-12-08 15:52:30,262 - step: 7, loss: 316.53985595703125
INFO - anneal_runner.py - 2024-12-08 15:52:31,182 - step: 8, loss: 305.48291015625
INFO - anneal_runner.py - 2024-12-08 15:52:32,099 - step: 9, loss: 280.01275634765625
INFO - anneal_runner.py - 2024-12-08 15:52:33,021 - step: 10, loss: 283.29901123046875
INFO - anneal_runner.py - 2024-12-08 15:52:33,944 - step: 11, loss: 291.0277099609375
INFO - anneal_runner.py - 2024-12-08 15:52:34,862 - step: 12, loss: 270.2325744628906
INFO - anneal_runner.py - 2024-12-08 15:52:35,785 - step: 13, loss: 268.0771179199219
INFO - anneal_runner.py - 2024-12-08 15:52:36,701 - step: 14, loss: 269.6737060546875
INFO - anneal_runner.py - 2024-12-08 15:52:37,620 - step: 15, loss: 267.8839111328125
INFO - anneal_runner.py - 2024-12-08 15:52:38,547 - step: 16, loss: 266.7601623535156
INFO - anneal_runner.py - 2024-12-08 15:52:39,473 - step: 17, loss: 256.458984375
INFO - anneal_runner.py - 2024-12-08 15:52:40,396 - step: 18, loss: 271.69696044921875
INFO - anneal_runner.py - 2024-12-08 15:52:41,316 - step: 19, loss: 255.1295166015625
INFO - anneal_runner.py - 2024-12-08 15:52:42,238 - step: 20, loss: 263.989501953125
INFO - anneal_runner.py - 2024-12-08 15:52:43,160 - step: 21, loss: 268.00408935546875
INFO - anneal_runner.py - 2024-12-08 15:52:44,076 - step: 22, loss: 261.8053283691406
INFO - anneal_runner.py - 2024-12-08 15:52:44,988 - step: 23, loss: 264.6778259277344
INFO - anneal_runner.py - 2024-12-08 15:52:45,908 - step: 24, loss: 255.31858825683594
INFO - anneal_runner.py - 2024-12-08 15:52:46,824 - step: 25, loss: 270.07501220703125
INFO - anneal_runner.py - 2024-12-08 15:52:47,742 - step: 26, loss: 272.389404296875
INFO - anneal_runner.py - 2024-12-08 15:52:48,659 - step: 27, loss: 262.8705139160156
INFO - anneal_runner.py - 2024-12-08 15:52:49,584 - step: 28, loss: 249.49575805664062
INFO - anneal_runner.py - 2024-12-08 15:52:50,507 - step: 29, loss: 252.12789916992188
INFO - anneal_runner.py - 2024-12-08 15:52:51,425 - step: 30, loss: 242.22869873046875
INFO - anneal_runner.py - 2024-12-08 15:52:52,338 - step: 31, loss: 234.5060577392578
INFO - anneal_runner.py - 2024-12-08 15:52:53,258 - step: 32, loss: 239.43170166015625
INFO - anneal_runner.py - 2024-12-08 15:52:54,175 - step: 33, loss: 233.00613403320312
INFO - anneal_runner.py - 2024-12-08 15:52:55,094 - step: 34, loss: 218.9022216796875
INFO - anneal_runner.py - 2024-12-08 15:52:56,012 - step: 35, loss: 244.66354370117188
INFO - anneal_runner.py - 2024-12-08 15:52:56,928 - step: 36, loss: 219.90277099609375
INFO - anneal_runner.py - 2024-12-08 15:52:57,844 - step: 37, loss: 262.782958984375
INFO - anneal_runner.py - 2024-12-08 15:52:58,765 - step: 38, loss: 241.11009216308594
INFO - anneal_runner.py - 2024-12-08 15:52:59,680 - step: 39, loss: 233.72415161132812
INFO - anneal_runner.py - 2024-12-08 15:53:00,592 - step: 40, loss: 243.55931091308594
INFO - anneal_runner.py - 2024-12-08 15:53:01,504 - step: 41, loss: 239.07960510253906
INFO - anneal_runner.py - 2024-12-08 15:53:02,420 - step: 42, loss: 229.51332092285156
INFO - anneal_runner.py - 2024-12-08 15:53:03,333 - step: 43, loss: 228.64849853515625
INFO - anneal_runner.py - 2024-12-08 15:53:04,251 - step: 44, loss: 225.09056091308594
INFO - anneal_runner.py - 2024-12-08 15:53:05,160 - step: 45, loss: 196.06228637695312
INFO - anneal_runner.py - 2024-12-08 15:53:06,077 - step: 46, loss: 229.40750122070312
INFO - anneal_runner.py - 2024-12-08 15:53:07,003 - step: 47, loss: 219.38653564453125
